Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_full_date
inn00071,2,0,0,3,meal plan 1,0,room_type 1,143,offline,0,0,0,100.0,0,not_canceled,2018-08-25
inn00072,2,0,1,0,not selected,0,room_type 1,34,online,0,0,0,88.0,2,not_canceled,2018-11-14
inn00073,2,0,1,1,meal plan 1,1,room_type 1,30,online,0,0,0,122.85,1,not_canceled,2018-08-29
inn00074,2,0,0,2,meal plan 1,0,room_type 1,177,online,0,0,0,100.0,0,canceled,2018-06-03
inn00075,2,0,2,3,meal plan 1,0,room_type 4,34,offline,0,0,0,75.0,0,not_canceled,2017-10-25
inn00076,2,0,1,4,meal plan 1,0,room_type 4,18,online,0,0,0,116.8,1,not_canceled,2018-03-09
inn00077,3,0,1,1,meal plan 1,0,room_type 4,267,online,0,0,0,121.5,0,not_canceled,2018-12-31
inn00078,2,0,1,2,meal plan 1,0,room_type 1,64,online,0,0,0,111.9,1,not_canceled,2018-06-27
inn00079,3,0,2,5,meal plan 1,0,room_type 4,155,online,0,0,0,121.55,2,canceled,2018-06-28
inn00080,2,0,0,5,meal plan 1,0,room_type 1,46,offline,0,0,0,75.0,1,not_canceled,2018-03-29
inn00081,2,2,0,2,meal plan 1,0,room_type 6,83,online,0,0,0,159.3,0,canceled,2018-04-01
inn00082,2,0,0,5,meal plan 1,0,room_type 4,128,online,0,0,0,132.3,0,canceled,2018-10-11
inn00083,2,0,2,0,not selected,0,room_type 1,20,online,0,0,0,88.0,2,not_canceled,2018-12-25
inn00084,2,0,1,4,meal plan 1,0,room_type 4,40,online,0,0,0,98.82,0,not_canceled,2018-03-14
inn00085,2,0,1,2,meal plan 1,1,room_type 4,46,online,0,0,0,98.3,1,not_canceled,2018-03-04
inn00086,1,0,1,0,meal plan 1,0,room_type 1,1,online,0,0,0,150.0,2,not_canceled,2018-10-17
inn00087,2,0,2,3,not selected,0,room_type 1,196,online,0,0,0,96.05,1,not_canceled,2018-09-04
inn00088,1,0,0,2,meal plan 1,0,room_type 1,188,online,0,0,0,130.0,0,canceled,2018-06-15
inn00089,2,0,0,1,not selected,0,room_type 1,17,online,1,0,5,95.0,0,not_canceled,2018-12-10
inn00090,2,0,0,3,meal plan 1,0,room_type 5,146,offline,0,0,0,113.56,0,not_canceled,2018-08-09
inn00091,2,0,1,3,not selected,0,room_type 1,110,online,0,0,0,101.58,1,not_canceled,2018-05-05
inn00092,2,0,1,2,meal plan 1,1,room_type 1,68,online,0,0,0,105.3,0,not_canceled,2018-03-18
inn00093,2,0,2,1,meal plan 1,0,room_type 4,73,online,0,0,0,115.8,1,not_canceled,2018-04-09
inn00094,2,0,0,1,meal plan 1,0,room_type 4,92,online,0,0,0,149.4,1,not_canceled,2018-05-19
inn00095,2,0,2,5,meal plan 1,0,room_type 1,171,online,0,0,0,111.59,0,canceled,2018-08-30
inn00096,2,1,0,2,meal plan 1,1,room_type 1,134,online,0,0,0,130.5,2,not_canceled,2018-08-04
inn00097,2,0,0,2,meal plan 2,0,room_type 1,320,online,0,0,0,115.0,1,canceled,2018-08-18
inn00098,2,0,0,4,meal plan 1,0,room_type 1,118,online,0,0,0,90.95,1,not_canceled,2018-04-13
inn00099,2,0,0,3,meal plan 1,0,room_type 1,30,online,0,0,0,76.08,1,not_canceled,2018-11-17
inn00100,2,2,1,3,meal plan 1,0,room_type 6,30,online,0,0,0,156.9,0,not_canceled,2018-12-22
inn00101,2,0,1,0,not selected,0,room_type 1,189,online,0,0,0,85.5,2,not_canceled,2018-10-23
inn00102,3,0,1,2,meal plan 1,0,room_type 4,55,online,0,0,0,159.3,2,not_canceled,2018-05-13
inn00103,1,0,0,4,meal plan 1,0,room_type 1,55,online,0,0,0,74.8,2,not_canceled,2018-12-13
inn00104,2,0,0,1,meal plan 1,0,room_type 1,16,online,0,0,0,95.0,1,not_canceled,2017-10-31
inn00105,2,0,0,3,meal plan 1,0,room_type 1,24,online,0,0,0,107.0,1,not_canceled,2017-10-08
inn00106,2,0,0,3,meal plan 1,0,room_type 1,8,offline,0,0,0,64.0,0,not_canceled,2018-02-16
inn00107,2,0,1,4,meal plan 1,1,room_type 1,10,online,0,0,0,82.95,0,not_canceled,2017-11-02
inn00108,2,0,1,3,meal plan 1,0,room_type 4,0,online,0,0,0,155.0,1,not_canceled,2017-09-21
inn00109,2,0,0,1,not selected,0,room_type 1,12,online,0,0,0,101.68,1,not_canceled,2018-06-30
inn00110,2,0,2,1,meal plan 1,0,room_type 1,32,online,0,0,0,94.5,3,not_canceled,2017-09-05
inn00111,2,0,0,2,meal plan 1,0,room_type 1,182,online,0,0,0,117.9,2,canceled,2018-09-30
inn00112,2,0,1,0,not selected,0,room_type 1,1,online,0,0,0,127.0,1,not_canceled,2018-06-27
inn00113,2,0,0,3,not selected,0,room_type 1,122,online,0,0,0,116.1,2,not_canceled,2018-06-16
inn00114,2,0,2,3,meal plan 1,0,room_type 1,40,online,0,0,0,117.9,1,not_canceled,2018-06-30
inn00115,2,2,2,2,meal plan 1,0,room_type 2,116,online,0,0,0,184.24,1,canceled,2018-06-26
inn00116,3,0,2,2,meal plan 1,1,room_type 4,123,online,0,0,0,155.7,1,not_canceled,2018-08-13
inn00117,3,0,2,5,meal plan 1,0,room_type 4,40,online,0,0,0,135.76,0,canceled,2018-04-22
inn00118,2,1,2,5,meal plan 1,0,room_type 1,105,online,0,0,0,102.83,3,not_canceled,2018-11-12
inn00119,2,0,0,1,meal plan 1,0,room_type 1,443,online,0,0,0,65.0,0,canceled,2018-04-29
inn00120,2,0,2,3,meal plan 1,0,room_type 1,2,online,0,0,0,103.0,1,not_canceled,2017-11-14
inn00121,2,0,0,3,meal plan 1,0,room_type 1,317,online,0,0,0,106.2,1,canceled,2018-09-01
inn00122,2,0,0,2,meal plan 2,0,room_type 1,286,offline,0,0,0,58.5,0,not_canceled,2018-09-16
inn00123,2,0,1,3,meal plan 1,0,room_type 1,68,online,0,0,0,73.95,0,canceled,2018-03-10
inn00124,2,0,0,3,meal plan 1,0,room_type 1,148,online,0,0,0,105.3,0,not_canceled,2018-05-05
inn00125,3,0,2,0,meal plan 1,0,room_type 4,68,online,0,0,0,133.2,2,not_canceled,2018-04-24
inn00126,2,0,0,2,meal plan 1,0,room_type 1,30,offline,0,0,0,85.5,0,not_canceled,2018-03-30
inn00127,1,0,0,1,meal plan 1,0,room_type 1,14,online,0,0,0,112.0,1,canceled,2018-11-03
inn00128,2,2,0,2,meal plan 1,0,room_type 6,110,online,0,0,0,190.8,0,canceled,2018-10-14
inn00129,1,0,2,3,meal plan 1,0,room_type 1,117,offline,0,0,0,110.0,0,not_canceled,2018-06-05
inn00130,2,0,1,4,meal plan 1,0,room_type 4,85,online,0,0,0,91.48,1,not_canceled,2018-07-13
inn00131,2,0,0,2,not selected,0,room_type 1,1,online,0,0,0,135.0,2,not_canceled,2018-10-20
inn00132,1,0,1,2,meal plan 1,0,room_type 1,25,online,0,0,0,129.0,2,not_canceled,2018-10-17
inn00133,2,0,2,4,not selected,0,room_type 1,289,online,0,0,0,70.55,2,canceled,2018-12-28
inn00134,2,0,1,4,meal plan 1,0,room_type 4,28,offline,0,0,0,75.0,0,not_canceled,2017-10-19
inn00135,1,0,0,4,not selected,0,room_type 1,80,online,0,0,0,72.25,0,not_canceled,2018-03-29
inn00136,2,0,0,1,meal plan 1,0,room_type 4,11,online,0,0,0,155.0,2,not_canceled,2017-10-09
inn00137,2,1,1,0,meal plan 1,0,room_type 1,162,online,0,0,0,121.5,2,canceled,2018-07-25
inn00138,2,0,2,5,meal plan 1,0,room_type 1,155,online,0,0,0,90.95,2,not_canceled,2018-06-28
inn00139,1,0,2,2,meal plan 1,0,room_type 1,82,online,0,0,0,109.65,0,not_canceled,2018-05-22
inn00140,3,0,2,4,meal plan 1,0,room_type 4,27,online,0,0,0,142.72,0,canceled,2018-04-15
inn00141,1,0,1,2,meal plan 1,0,room_type 1,13,offline,0,0,0,90.0,0,not_canceled,2018-05-09
inn00142,2,0,0,2,meal plan 1,0,room_type 1,245,online,0,0,0,75.0,0,canceled,2018-06-17
inn00143,2,0,0,2,meal plan 1,0,room_type 1,11,online,0,0,0,111.0,1,canceled,2018-11-18
inn00144,2,0,2,2,meal plan 1,0,room_type 1,266,online,0,0,0,86.7,2,not_canceled,2018-10-30
inn00145,2,0,1,0,meal plan 1,0,room_type 1,39,online,0,0,0,117.9,1,not_canceled,2018-03-28
inn00146,1,0,0,2,meal plan 1,0,room_type 1,13,complementary,1,3,5,0.0,1,not_canceled,2018-06-01
inn00147,2,0,0,4,not selected,0,room_type 1,112,online,0,0,0,101.58,1,not_canceled,2018-05-04
inn00148,2,0,1,2,not selected,0,room_type 1,88,online,0,0,0,58.9,1,not_canceled,2018-04-08
inn00149,2,0,0,1,meal plan 1,0,room_type 1,56,offline,0,0,0,120.0,0,not_canceled,2018-06-08
inn00150,2,0,2,3,meal plan 1,0,room_type 4,73,online,0,0,0,107.1,0,canceled,2018-04-07
inn00151,2,0,1,1,meal plan 1,0,room_type 1,80,online,0,0,0,126.9,1,not_canceled,2018-05-02
inn00152,2,0,0,3,meal plan 1,0,room_type 4,130,online,0,0,0,139.5,2,canceled,2018-09-29
inn00153,2,0,1,3,not selected,0,room_type 1,69,online,0,0,0,80.75,1,not_canceled,2018-04-04
inn00154,2,0,0,2,meal plan 2,0,room_type 1,273,online,0,0,0,109.0,0,canceled,2017-07-17
inn00155,2,0,0,1,meal plan 2,0,room_type 1,55,offline,0,0,0,104.0,0,not_canceled,2018-04-06
inn00156,1,0,0,3,meal plan 1,0,room_type 1,4,corporate,1,1,5,65.0,1,not_canceled,2018-11-01
inn00157,2,0,0,3,meal plan 1,0,room_type 4,97,online,0,0,0,140.4,0,not_canceled,2018-05-24
inn00158,2,0,0,3,meal plan 1,0,room_type 1,44,offline,0,0,0,75.0,0,not_canceled,2018-02-17
inn00159,2,0,0,1,not selected,0,room_type 1,31,online,0,0,0,94.5,0,canceled,2018-04-14
inn00160,2,0,1,0,not selected,0,room_type 1,0,online,0,0,0,109.0,0,not_canceled,2018-06-05
inn00161,2,0,2,2,meal plan 1,0,room_type 1,62,online,0,0,0,105.0,2,not_canceled,2018-11-12
inn00162,2,0,2,2,meal plan 1,0,room_type 4,86,online,0,0,0,107.95,1,not_canceled,2018-04-17
inn00163,3,0,2,2,meal plan 1,0,room_type 7,3,online,0,0,0,215.6,1,not_canceled,2018-10-07
inn00164,2,0,1,1,not selected,0,room_type 1,197,online,0,0,0,85.5,1,not_canceled,2018-08-01
inn00165,2,0,0,2,meal plan 1,0,room_type 1,143,online,0,0,0,105.3,2,not_canceled,2018-07-12
inn00166,1,0,2,1,meal plan 2,0,room_type 1,23,online,0,0,0,1.0,0,not_canceled,2018-01-02
inn00167,2,0,0,2,meal plan 1,0,room_type 4,8,online,0,0,0,156.0,0,canceled,2018-06-15
inn00168,1,0,0,2,meal plan 1,0,room_type 1,13,online,0,0,0,73.15,1,not_canceled,2018-11-16
inn00169,2,0,1,2,meal plan 1,0,room_type 1,280,online,0,0,0,110.0,0,canceled,2018-09-19
inn00170,2,1,1,0,not selected,0,room_type 1,11,online,0,0,0,87.4,1,not_canceled,2017-09-13
inn00171,2,0,0,2,meal plan 1,0,room_type 1,317,online,0,0,0,120.0,0,canceled,2018-09-15
inn00172,2,0,1,2,not selected,0,room_type 1,185,online,0,0,0,79.2,0,canceled,2018-12-16
inn00173,2,0,1,3,meal plan 1,0,room_type 1,160,online,0,0,0,90.95,1,not_canceled,2018-06-30
inn00174,2,0,0,4,meal plan 1,0,room_type 1,104,online,0,0,0,91.48,1,not_canceled,2018-10-18
inn00175,2,1,0,1,meal plan 1,0,room_type 1,11,online,0,0,0,150.0,1,canceled,2018-11-05
inn00176,2,0,0,1,not selected,0,room_type 1,2,online,0,0,0,89.0,0,not_canceled,2018-03-22
inn00177,2,0,1,4,not selected,0,room_type 1,14,online,0,0,0,91.43,1,not_canceled,2018-08-17
inn00178,2,0,0,2,meal plan 1,0,room_type 1,22,offline,0,0,0,140.0,0,not_canceled,2018-05-20
inn00179,1,1,2,5,not selected,0,room_type 1,37,online,0,0,0,87.78,0,not_canceled,2017-10-24
inn00180,2,0,0,2,meal plan 2,0,room_type 1,292,online,0,0,0,115.0,0,canceled,2018-07-21
inn00181,2,0,0,3,meal plan 1,0,room_type 1,11,online,0,0,0,80.85,1,not_canceled,2017-09-09
inn00182,2,0,1,3,meal plan 1,0,room_type 1,86,online,0,0,0,82.45,1,not_canceled,2018-03-31
inn00183,2,0,0,1,not selected,0,room_type 1,109,online,0,0,0,108.0,0,canceled,2018-10-11
inn00184,2,0,1,1,meal plan 1,0,room_type 4,72,online,0,0,0,96.3,1,not_canceled,2018-04-02
inn00185,2,0,1,5,meal plan 1,0,room_type 1,196,online,0,0,0,99.45,0,canceled,2018-08-22
inn00186,2,0,0,2,meal plan 1,0,room_type 4,56,online,0,0,0,140.4,1,not_canceled,2018-05-13
inn00187,2,0,1,3,meal plan 1,0,room_type 1,189,offline,0,0,0,72.25,0,not_canceled,2018-08-08
inn00188,2,0,1,4,meal plan 1,0,room_type 4,126,online,0,0,0,126.0,0,not_canceled,2018-08-15
inn00189,2,0,2,3,meal plan 1,0,room_type 1,303,online,0,0,0,78.0,0,canceled,2018-08-19
inn00190,1,0,2,2,meal plan 1,0,room_type 4,81,online,0,0,0,146.6,1,not_canceled,2018-11-06
inn00191,2,0,1,2,meal plan 1,0,room_type 1,54,online,0,0,0,118.8,0,canceled,2018-10-10
inn00192,1,0,0,1,meal plan 1,0,room_type 1,15,online,0,0,0,145.0,0,canceled,2018-10-06
inn00193,2,0,0,4,meal plan 1,0,room_type 1,86,online,0,0,0,84.58,0,canceled,2018-04-06
inn00194,2,0,1,2,meal plan 2,0,room_type 1,161,online,0,0,0,130.0,0,canceled,2018-03-25
inn00196,2,0,1,2,meal plan 1,0,room_type 1,92,offline,0,0,0,101.52,0,not_canceled,2018-05-30
inn00197,2,0,0,1,meal plan 1,0,room_type 1,87,corporate,0,0,0,100.0,0,canceled,2017-09-11
inn00198,2,0,2,1,meal plan 1,0,room_type 1,109,offline,0,0,0,58.0,0,not_canceled,2018-03-20
inn00199,2,0,0,4,meal plan 1,0,room_type 1,127,offline,0,0,0,61.5,2,not_canceled,2018-03-23
inn00200,2,0,1,2,meal plan 2,0,room_type 1,418,online,0,0,0,107.0,0,canceled,2018-09-26
inn00201,2,0,1,4,not selected,0,room_type 1,156,online,0,0,0,87.3,1,not_canceled,2018-08-24
inn00202,2,0,0,2,meal plan 1,0,room_type 1,80,online,0,0,0,76.5,1,canceled,2017-07-16
inn00203,2,0,2,2,not selected,0,room_type 1,211,online,0,0,0,63.75,0,canceled,2018-12-16
inn00204,2,0,1,2,meal plan 1,0,room_type 1,273,online,0,0,0,95.0,0,canceled,2018-05-13
inn00205,2,0,2,1,meal plan 1,0,room_type 1,58,offline,0,0,0,75.0,1,not_canceled,2018-11-19
inn00206,2,0,0,3,meal plan 1,0,room_type 1,433,online,0,0,0,70.0,0,canceled,2018-09-08
inn00207,2,0,1,3,meal plan 1,0,room_type 1,111,online,0,0,0,101.58,1,not_canceled,2018-05-02
inn00208,2,0,2,3,meal plan 1,0,room_type 1,34,offline,0,0,0,85.0,0,not_canceled,2018-08-21
inn00209,2,0,2,4,meal plan 1,0,room_type 1,17,online,0,0,0,98.39,0,not_canceled,2018-12-03
inn00210,1,0,0,0,meal plan 1,0,room_type 1,4,complementary,0,0,0,0.0,1,not_canceled,2018-02-27
inn00211,2,0,0,3,meal plan 1,0,room_type 1,6,online,0,0,0,106.07,1,not_canceled,2017-09-22
inn00212,2,0,1,1,meal plan 1,0,room_type 1,32,offline,0,0,0,105.0,1,not_canceled,2018-07-18
inn00213,2,0,0,1,meal plan 1,0,room_type 1,4,online,0,0,0,145.0,2,not_canceled,2017-09-22
inn00214,3,0,2,1,meal plan 1,0,room_type 1,195,online,0,0,0,106.03,1,canceled,2018-08-13
inn00215,2,0,2,2,meal plan 1,0,room_type 1,119,online,0,0,0,114.3,1,not_canceled,2018-08-13
inn00216,1,0,1,1,not selected,0,room_type 1,13,online,0,0,0,88.0,0,not_canceled,2018-12-05
inn00217,2,0,0,2,meal plan 1,0,room_type 1,59,online,0,0,0,89.25,2,not_canceled,2017-10-15
inn00218,2,1,2,5,meal plan 1,0,room_type 4,78,online,0,0,0,86.32,1,not_canceled,2018-03-20
inn00219,2,0,0,3,meal plan 1,0,room_type 1,335,offline,0,0,0,90.0,1,not_canceled,2018-10-13
inn00220,2,0,2,5,meal plan 1,0,room_type 1,103,online,0,0,0,55.96,0,not_canceled,2017-08-22
inn00221,1,0,0,2,not selected,0,room_type 1,0,online,0,0,0,109.0,1,not_canceled,2018-06-08
inn00222,2,0,0,1,meal plan 1,0,room_type 1,118,offline,0,0,0,86.0,0,not_canceled,2018-03-01
inn00223,2,0,1,5,meal plan 1,0,room_type 1,56,online,0,0,0,118.95,0,not_canceled,2018-09-05
inn00224,2,0,0,2,meal plan 1,0,room_type 1,107,offline,0,0,0,130.0,1,not_canceled,2018-06-10
inn00225,2,0,1,3,not selected,0,room_type 1,70,online,0,0,0,90.56,1,not_canceled,2018-04-14
inn00226,2,0,0,2,meal plan 1,0,room_type 1,76,online,0,0,0,87.3,1,not_canceled,2018-04-01
inn00227,2,2,2,2,meal plan 1,0,room_type 6,144,online,0,0,0,177.65,1,canceled,2018-05-27
inn00228,1,2,2,2,meal plan 1,0,room_type 6,4,online,0,0,0,200.75,2,not_canceled,2017-09-19
inn00229,2,1,0,2,meal plan 1,0,room_type 1,15,online,0,0,0,127.0,1,not_canceled,2018-03-18
inn00230,1,0,1,2,meal plan 1,0,room_type 1,32,online,0,0,0,72.9,0,canceled,2018-02-05
inn00231,3,0,1,1,meal plan 1,0,room_type 4,49,online,0,0,0,159.3,0,canceled,2018-05-07
inn00232,2,1,1,3,meal plan 1,0,room_type 1,77,online,0,0,0,135.15,1,not_canceled,2018-05-12
inn00233,1,0,0,2,meal plan 1,0,room_type 1,22,offline,0,0,0,90.0,0,not_canceled,2018-10-28
inn00234,2,0,1,0,not selected,0,room_type 1,0,online,0,0,0,114.0,0,not_canceled,2017-10-18
inn00235,2,1,0,1,meal plan 1,1,room_type 1,58,online,0,0,0,125.1,1,not_canceled,2018-06-21
inn00236,2,0,2,6,not selected,0,room_type 1,4,online,0,0,0,95.13,1,not_canceled,2017-08-14
inn00237,2,0,0,2,meal plan 1,0,room_type 5,117,online,0,0,0,105.84,0,canceled,2018-04-29
inn00238,2,0,1,3,meal plan 1,0,room_type 1,36,online,0,0,0,102.0,0,canceled,2018-12-26
inn00239,2,0,2,2,not selected,0,room_type 1,35,online,0,0,0,74.8,2,not_canceled,2018-12-02
inn00240,2,0,1,0,not selected,0,room_type 1,31,online,0,0,0,94.5,0,canceled,2018-04-24
inn00241,2,0,2,4,not selected,0,room_type 1,79,online,0,0,0,120.6,0,not_canceled,2018-06-16
inn00242,2,0,1,2,meal plan 1,0,room_type 1,1,online,0,0,0,139.33,0,not_canceled,2017-10-09
inn00243,2,0,0,2,meal plan 1,0,room_type 1,21,online,0,0,0,105.0,0,not_canceled,2017-09-03
inn00244,2,0,0,2,not selected,0,room_type 1,12,corporate,0,0,0,100.0,1,not_canceled,2018-09-14
inn00245,2,0,1,0,meal plan 1,0,room_type 1,33,online,0,0,0,80.3,1,not_canceled,2018-02-08
